PGM | DB_ID | CLIENT_ID | DCB | Timestamp | Err Msg
456|457 - 081400.000641|backup-for-archiving|X:\081400\000641\MWAA - Copy (2)\MWAA_REVIEW.DCB|2013-09-04 14:49:07|ERROR: can't find dcb[0456]: X:\081400\000641\MWAA - Copy (2)\MWAA_REVIEW.DCB
457|458 - 081400.000641|backup-for-archiving|X:\081400\000641\WMATA_Subpoena_Review - Copy\WMATA_SUBPOENA.DCB|2013-09-04 14:49:07|ERROR: can't find dcb[0457]: X:\081400\000641\WMATA_Subpoena_Review - Copy\WMATA_SUBPOENA.DCB
544|545 - 098837.000006|backup-for-archiving|X:\098837\000006\BMA_PRODUCTION\BMW_EMAIL_PRODUCTION.DCB|2013-09-04 14:50:28|ERROR: can't find dcb[0544]: X:\098837\000006\BMA_PRODUCTION\BMW_EMAIL_PRODUCTION.DCB
545|546 - 098837.000006|backup-for-archiving|X:\098837\000006\BMA_PRODUCTION\BWM_EMAIL_PRODUCTION.DCB|2013-09-04 14:50:28|ERROR: can't find dcb[0545]: X:\098837\000006\BMA_PRODUCTION\BWM_EMAIL_PRODUCTION.DCB
58|59 - 025593.000008|run-get-images|X:\025593\000008\Temp_Productions\DNDN018\DNDN018_TEMP PROD_REVIEW.DCB|09/06/2013  19:47:26|Unable to open dcb
64|65 - 026193.000010|run-get-images|X:\026193\000010\ACL_Zinn_Claimant_Exhibits_DB\CLAIMANT EXHIBITS_DB.DCB|09/06/2013  19:47:28|Unable to open dcb
67|68 - 026583.000010|run-get-images|X:\026583\000010\HL_Production\070810-PRODUTION-Question\QUESTION.DCB|09/06/2013  19:47:29|Unable to open dcb
96|97 - 029018.000041|run-get-images|X:\029018\000041\Autobahn_Discovery\AUTOBAHN _DISCOVERY.DCB|09/06/2013  19:47:31|Unable to open dcb
99|100 - 029018.000043|run-get-images|X:\029018\000043\Jaguar_Rio_Grande_Jaguar_Review_Database\JAGUAR_REVIEW.DCB|09/06/2013  19:47:32|Unable to open dcb
105|106 - 029046.000001|run-get-images|X:\029046\000001\HL_Review\Pulled_From_ML005\PULLED FROM ML005.DCB|09/06/2013  19:47:34|Unable to open dcb
106|107 - 029046.000001|run-get-images|X:\029046\000001\HL_Review\Pulled_from_ML006\PULLED FROM ML006.DCB|09/06/2013  19:47:35|Unable to open dcb
107|108 - 029046.000001|run-get-images|X:\029046\000001\HL_Review\Pulled_From_ML007\PULLED FROM ML007.DCB|09/06/2013  19:47:36|Unable to open dcb
116|117 - 029517.000001|run-get-images|X:\029517\000001\Hd - Interview Memoranda\HD - INTERVIEW MEMORANDA.DCB|09/06/2013  19:47:38|Unable to open dcb
125|126 - 031816.000002|run-get-images|X:\031816\000002\Saft_Review\SAFT - REVIEW.DCB|09/06/2013  19:47:39|Unable to open dcb
136|137 - 034973.000001|run-get-images|X:\034973\000001\Megace ES INDs and NDA\MEGACE ES INDS AND NDA.DCB|09/06/2013  19:47:41|Unable to open dcb
137|138 - 034975.000001|run-get-images|X:\034975\000001\Jill_Dailey_Production - Copy\JILL_DAILEY_PRODUCTION.DCB|09/06/2013  19:47:42|Unable to open dcb
156|157 - 036277.000001|run-get-images|X:\036277\000001\WOOD_PROD\WOOD_PROD.DCB|09/06/2013  19:47:43|Unable to open dcb
162|163 - 036534.000001|run-get-images|X:\036534\000001\HL_Production\UR_Productions\UR_PRODUCTIONS.DCB|09/06/2013  19:47:45|Unable to open dcb
170|171 - 036867.000001|run-get-images|X:\036867\000001\HL_Production\20110610_PRODUCTION\20110610_PRODUCTION.DCB|09/06/2013  19:47:46|Unable to open dcb
173|174 - 036867.000001|run-get-images|X:\036867\000001\HL_Production\20110714_PRODUCTION\20110714_PRODUCTION.DCB|09/06/2013  19:47:48|Unable to open dcb
223|224 - 038342.000010|run-get-images|X:\038342\000010\HL_Production\Mosaid_Itc_Production\MOSAID_ITC_PRODUCTION.DCB|09/06/2013  19:47:49|Unable to open dcb
225|226 - 038345.000001|run-get-images|X:\038345\000001\FOUNDRY_(FNC)\FOUNDRY_(FNC).DCB|09/06/2013  19:47:50|Unable to open dcb
226|227 - 038345.000001|run-get-images|X:\038345\000001\FOUNDRY_CLIENT_MATERIALS_CHRIMAR\FOUNDRY CLIENT MATERIALS CHRIMAR.DCB|09/06/2013  19:47:52|Unable to open dcb
237|238 - 039371.000001|run-get-images|X:\039371\000001\Old_Neil_Gmail_PST_Review\NEIL_EMAIL PST _REVIEW.DCB|09/06/2013  19:47:53|Unable to open dcb
244|245 - 040288.000001|run-get-images|X:\040288\000001\JSR_MICRO_QBE_FOREIGN_INSUREDS_DEC_PAGES_PART 2\JSR_MICRO_QBE_FOREIGN_INSUREDS_DEC_PAGES_PART 2.DCB|09/06/2013  19:47:55|Unable to open dcb
245|246 - 040288.000001|run-get-images|X:\040288\000001\JSR_MICRO_QBE_FOREIGN_INSUREDS_DEC_PAGES_PART 3\JSR_MICRO_QBE_FOREIGN_INSUREDS_DEC_PAGES_PART 3.DCB|09/06/2013  19:47:56|Unable to open dcb
246|247 - 040288.000001|run-get-images|X:\040288\000001\JSR_MICRO_QBE_FOREIGN_INSUREDS_DEC_PAGES_PART 4\JSR_MICRO_QBE_FOREIGN_INSUREDS_DEC_PAGES_PART 4.DCB|09/06/2013  19:47:57|Unable to open dcb
247|248 - 040288.000001|run-get-images|X:\040288\000001\JSR_MICRO_QBE_FOREIGN_INSUREDS_DEC_PAGES_PART 5\JSR_MICRO_QBE_FOREIGN_INSUREDS_DEC_PAGES_PART 5.DCB|09/06/2013  19:47:59|Unable to open dcb
250|251 - 040288.000001|run-get-images|X:\040288\000001\JSR_MICRO_QBE_OTHER_US_INSUREDS_PART 2\JSR_MICRO_QBE_OTHER_US_INSUREDS_PART 2.DCB|09/06/2013  19:48:|Unable to open dcb
251|252 - 040288.000001|run-get-images|X:\040288\000001\JSR_MICRO_QBE_OTHER_US_INSUREDS_PART 3\JSR_MICRO_QBE_OTHER_US_INSUREDS_PART 3.DCB|09/06/2013  19:48:2|Unable to open dcb
254|255 - 057013.000007|run-get-images|X:\057013\000007\UNIVERSITY_OF_MIAMI\UNIVOFMIAMI.DCB|09/06/2013  19:48:3|Unable to open dcb
260|261 - 057212.000518|run-get-images|X:\057212\000518\BANK OF AMERICA - PARMALAT\BANK OF AMERICA - PARMALAT.DCB|09/06/2013  19:48:5|Unable to open dcb
284|285 - 058559.000029|run-get-images|X:\058559\000029\Advance_Combined\ADMIN\20120620\BK_SEC-OLD\ADVANCE COMBINED.DCB|09/06/2013  19:48:6|Unable to open dcb
290|291 - 058559.000174|run-get-images|X:\058559\000174\BMS_AK_Mohr_Emails\BMS_ALASKA_MOHR_EMAILS.DCB|09/06/2013  19:48:7|Unable to open dcb
298|299 - 059850.000016|run-get-images|X:\059850\000016\HL_Review\Dreher_Part_One\DREHER PART ONE UNFILTERED.DCB|09/06/2013  19:48:9|Unable to open dcb
299|300 - 059850.000016|run-get-images|X:\059850\000016\HL_Review\Dreher_Part_Two\DREHER PART TWO UNFILTERED.DCB|09/06/2013  19:48:10|Unable to open dcb
300|301 - 059850.000016|run-get-images|X:\059850\000016\HL_Review\Gillespie\FOSS GILLESPIE UNFILTERED.DCB|09/06/2013  19:48:12|Unable to open dcb
301|302 - 059850.000016|run-get-images|X:\059850\000016\HL_Review\Saltsman\SALTSMAN SCHREEVES SCHULMAN.DCB|09/06/2013  19:48:13|Unable to open dcb
302|303 - 059850.000016|run-get-images|X:\059850\000016\HL_Review\Tupper\TUPPER UNFILTERED.DCB|09/06/2013  19:48:14|Unable to open dcb
303|304 - 059850.000016|run-get-images|X:\059850\000016\HL_Review\MKEON\BOND MCKEON PFEFFER UNFILTERED.DCB|09/06/2013  19:48:16|Unable to open dcb
306|307 - 059892.000085|run-get-images|X:\059892\000085\NVR_OHB_OHB_First_Document_Production\OHB_PROD_DB.DCB|09/06/2013  19:48:17|Unable to open dcb
308|309 - 060643.000056|run-get-images|X:\060643\000056\Compliance_Review\COMPLIANCE_REVIEW.DCB|09/06/2013  19:48:19|Unable to open dcb
315|316 - 061118.000234|run-get-images|X:\061118\000234\HL_Production\GU002_Final\GU002 FINAL.DCB|09/06/2013  19:48:20|Unable to open dcb
354|355 - 062376.000050|run-get-images|X:\062376\000050\HL_Prod\Copy of PROD_QC\PROD002\PROD002_QC.DCB|09/06/2013  19:48:21|Unable to open dcb
364|365 - 063533.000029|run-get-images|X:\063533\000029\Schwan_Secondary_Review\SCHWAN_SECONDARY_REVIEW.DCB|09/06/2013  19:48:23|Unable to open dcb
391|392 - 068235.000141|run-get-images|X:\068235\000141\Green_Review\WELLPOINT - GREEN.DCB|09/06/2013  19:48:24|Unable to open dcb
392|393 - 068235.000141|run-get-images|X:\068235\000141\McAffry-Mell_Review\CINCINNATI CONTRACTS.DCB|09/06/2013  19:48:25|Unable to open dcb
394|395 - 068235.000141|run-get-images|X:\068235\000141\Reiser_Co-Defendants_Production\CO-DEFENDANTS PRODUCTION.DCB|09/06/2013  19:48:27|Unable to open dcb
395|396 - 068235.000141|run-get-images|X:\068235\000141\Reiser_Review\WELLPOINT - REISER.DCB|09/06/2013  19:48:28|Unable to open dcb
397|398 - 068235.000141|run-get-images|X:\068235\000141\Stapp_Review\WELLPOINT - STAPP.DCB|09/06/2013  19:48:30|Unable to open dcb
398|399 - 068235.000141|run-get-images|X:\068235\000141\Stapp_Wellpoint_Production\WP PRODUCTION.DCB|09/06/2013  19:48:31|Unable to open dcb
402|403 - 068235.000153|run-get-images|X:\068235\000153\Revised_State_Production\REVISED_STATE_PRODUCTION.DCB|09/06/2013  19:48:33|Unable to open dcb
403|404 - 068235.000153|run-get-images|X:\068235\000153\State-EJ\STATE-EJ.DCB|09/06/2013  19:48:34|Unable to open dcb
404|405 - 068235.000161|run-get-images|X:\068235\000161\Wellpoint_Email_Review - Copy\WELLPOINT_EMAIL_REVIEW.DCB|09/06/2013  19:48:36|Unable to open dcb
412|413 - 068738.000055|run-get-images|X:\068738\000055\PE_Production - Copy\PE_PRODUCTION_DOCUMENTS.DCB|09/06/2013  19:48:37|Unable to open dcb
426|427 - 069138.000006|run-get-images|X:\069138\000006\Educational_Housing_Services_Silver_docs_not_produced_AND_not_privileged\EDUCATIONAL HOUSING SERVICES -SILVER'S DOCS NOT PRODUCED & NOT PRIVILEGED.DCB|09/06/2013  19:48:38|Unable to open dcb
427|428 - 069138.000006|run-get-images|X:\069138\000006\Educational_Housing_Services_Silver_Privileged_Documents\EDUCATIONAL HOUSING SERVICES - SILVER'S PRIVILEGED DOCUMENTS.DCB|09/06/2013  19:48:40|Unable to open dcb
442|443 - 080653.000040|run-get-images|X:\080653\000040\RELATORS - Copy\RELATORS.DCB|09/06/2013  19:48:41|Unable to open dcb
444|445 - 080653.000063|run-get-images|X:\080653\000063\Acceleron_Omnibus_Production\ACCELERON_OMNIBUS_PRODUCTION _6_24_2010.DCB|09/06/2013  19:48:43|Unable to open dcb
451|452 - 081400.000476|run-get-images|X:\081400\000476\WHITE_PLAINS_IBM001_PRODUCTION2\WHITE_PLAINS_IBM001_PRODUCTION.DCB|09/06/2013  19:48:44|Unable to open dcb
461|462 - 081416.000129|run-get-images|X:\081416\000129\KPMG_Credit_Suisse_3rd_Party_Subpoena\KPMGCREDIT_SUISSE_3RD_PARTY_SUB.DCB|09/06/2013  19:48:45|Unable to open dcb
464|465 - 081416.000142|run-get-images|X:\081416\000142\KPMG_St_Vincent_St_Vincent_Review\ST_VINCENT_REVIEW.DCB|09/06/2013  19:48:47|Unable to open dcb
468|469 - 081416.000147|run-get-images|X:\081416\000147\KPMG_China_Integrated_Energy_Production_to_PCAOB\PCAOB.DCB|09/06/2013  19:48:48|Unable to open dcb
479|480 - 081429.000009|run-get-images|X:\081429\000009\Deloitte_AHM_Manual_Audit_Files_Review_DB\MANUAL AUDIT FILES_REVIEW_DB.DCB|09/06/2013  19:48:50|Unable to open dcb
